conceptdoi,title,unique_downloads,unique_views,created
3841179,10.5281/zenodo.3841178,Dispersal and population dynamics of the New England American oystercatcher (Haematopus palliatus),5.0,12.0,2020-05-23T14:48:27.474383+00:00
3840635,10.5281/zenodo.3840634,Amphibian Recording Status Update for 2009,5.0,9.0,2020-05-22T23:37:33.693378+00:00
3818979,10.5281/zenodo.3818978,Biodiversity of the tunicate fauna at Nantucket and Muskeget Islands,4.0,9.0,2020-05-09T23:48:22.076069+00:00
3818974,10.5281/zenodo.3818973,Inventory of Nantucket Macrofungi,6.0,13.0,2020-05-09T23:28:10.916680+00:00
3802158,10.5281/zenodo.3802157,Inventory of the ants of Nantucket,6.0,13.0,2020-05-06T15:58:59.242445+00:00
3802029,10.5281/zenodo.3802028,"Spider species composition in Gaylussacia baccata clones of varying sizes on Nantucket Island, Massachusetts",10.0,14.0,2020-05-06T15:49:03.529836+00:00
3783801,10.5281/zenodo.3783800,Comparison of aboveground arthropod diversity within pitch pine and scrub oak barrens habitats on Nantucket Island with emphasis on the beetle fauna,5.0,11.0,2020-05-04T00:07:04.923335+00:00
3782795,10.5281/zenodo.3782794,A Preliminary Inventory of the Leafhoppers (Cicadellidae) of Nantucket Island,6.0,12.0,2020-05-02T21:04:00.537530+00:00
3782785,10.5281/zenodo.3782784,2007 Survey for the purseweb spiders Sphodros niger and Sphodros rufipes,6.0,15.0,2020-05-02T19:55:59.128298+00:00
3782768,10.5281/zenodo.3782767,"Evolution of Reduced Competitive Ability (ERCA) hypothesis on islands: low competitor pressure drives evolution of decreased growth, increased reproduction and herbivore tolerance in nonnative plants",7.0,13.0,2020-05-02T19:40:44.337305+00:00
3757466,10.5281/zenodo.3757465,"Data for vertebrate scavenger species composition on Nantucket Island, Massachusetts and implications for Nicrophorus americanus Olivier (American burying beetle) reintroduction",14.0,29.0,2020-04-20T20:19:52.118487+00:00
3753187,10.5281/zenodo.3753186,Distribution and genetic diversity of the invasive clinging jellyfish Gonionemus vertens on Nantucket and Muskeget Islands,6.0,11.0,2020-04-15T16:29:46.581649+00:00
3753099,10.5281/zenodo.3753098,Dragonfly and Damselfly populations on Nantucket Island,19.0,33.0,2020-04-15T16:17:32.568678+00:00
3752293,10.5281/zenodo.3752292,"Diet and Foraging of Herring and Great Black-backed Gulls On Tuckernuck and Muskeget Islands, Massachusetts in 2016",8.0,12.0,2020-04-15T14:58:45.759087+00:00
3745607,10.5281/zenodo.3745606,"Data for an unusually dense population of Sphodros rufipes  (Latreille 1829) (Mygalomorphae, Atypidae) at the edge of its range on Tuckernuck Island, Massachusetts",14.0,31.0,2020-04-08T23:27:27.536989+00:00
